source,titles,links,covers
TOI,"Pune car crash: Was asked to let his son drive, driver tells cops",https://timesofindia.indiatimes.com/city/pune/man-told-driver-to-let-his-teen-son-drive-porsche-pune-cop/articleshow/110373915.cms,"https://static.toiimg.com/thumb/imgsize-1447025,msid-110373930,width-160,resizemode-4/110373930.jpg"
TOI,"Out on bail, can 'victim' Kejriwal sway voters?",https://timesofindia.indiatimes.com/city/delhi/out-on-bail-can-victim-kejriwal-sway-delhi/articleshow/110354923.cms,"https://static.toiimg.com/thumb/imgsize-227816,msid-110361779,width-160,resizemode-4/110361779.jpg"
TOI,Cops suspect Bangladesh MP 'honey-trapped' before 'murder',https://timesofindia.indiatimes.com/city/kolkata/police-suspect-bangladesh-mp-honey-trapped-before-murder-by-contract-killers-one-detained/articleshow/110378669.cms,"https://static.toiimg.com/thumb/imgsize-1614243,msid-110378713,width-160,resizemode-4/110378713.jpg"
TOI,100 feared dead after landslide strikes Papua New Guinea,https://timesofindia.indiatimes.com/world/rest-of-world/100-feared-dead-after-landslide-strikes-papua-new-guinea/articleshow/110380898.cms,"https://static.toiimg.com/thumb/imgsize-724556,msid-110381015,width-160,resizemode-4/110381015.jpg"
TOI,Read your daily newspaper digitally,"https://epaper.indiatimes.com/timesepaper/publication-the-times-of-india,city-delhi.cms?utm_source=TOI&utm_medium=TOIBrowserHomePage&utm_campaign=ePaperCampaignMorningSlot","https://static.toiimg.com/thumb/imgsize-722637,msid-110285632,width-160,resizemode-4/110285632.jpg"
TOI,Are we seeing a return of good old Mandal politics?,https://timesofindia.indiatimes.com/india/elections-caste-of-characters/articleshow/110372263.cms,"https://static.toiimg.com/thumb/imgsize-129132,msid-110372252,width-160,resizemode-4/110372252.jpg"
TOI,Amazon CEO Jassy shared four questions with 'best career advice',https://timesofindia.indiatimes.com/technology/tech-news/amazon-ceo-andy-jassy-shared-these-four-questions-with-his-best-career-advice-to-linkedin-ceo-ryan-roslansky/articleshow/110374509.cms,"https://static.toiimg.com/thumb/imgsize-17580,msid-110374483,width-160,resizemode-4/110374483.jpg"
TOI,"BSE Sensex near 75,500 level; Nifty50 shy of 23,000",https://timesofindia.indiatimes.com/business/india-business/stock-market-today-bse-sensex-nifty50-may-24-2024-dalal-street-indian-equities-lok-sabha-elections-us-federal-reserve-rbi/articleshow/110380592.cms,"https://static.toiimg.com/thumb/imgsize-111300,msid-110380656,width-160,resizemode-4/110380656.jpg"
TOI,Lead semicon revolution with IISc’s programme,https://timesofindia.indiatimes.com/spotlight/iiscs-cutting-edge-pg-level-advanced-certification-in-microelectronics-semiconductor-technology-is-preparing-professionals-for-indias-semiconductor-revolution/articleshow/110262334.cms,"https://static.toiimg.com/thumb/imgsize-205682,msid-110262491,width-160,resizemode-4/110262491.jpg"
TOI,"Shopping: Summer Appliances Fest (22-27 May) - 60% Off* on ACs, Refrig & more",https://timesofindia.indiatimes.com/amazon-bestsellers,"https://static.toiimg.com/thumb/imgsize-553638,msid-90497270,width-160,resizemode-4/90497270.jpg"
