titles,links,covers,ratings
Chamkila,/title/tt26658272/,"https://m.media-amazon.com/images/M/MV5BY2U0M2ZjYzYtNTNjOS00NmZlLTkxMjUtY2M5YzFmZmYzMWVkXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY133_CR7,0,90,133_.jpg",7.9
Love Aaj Kal,/title/tt10023024/,"https://m.media-amazon.com/images/M/MV5BMjNhYzc0YmItOGZjOS00NWJlLWE3ZTEtNGI3MzAxNGYwZWExXkEyXkFqcGdeQXVyMTA5NzIyMDY5._V1_QL75_UY133_CR5,0,90,133_.jpg",4.7
The Other Way,/title/tt5612006/,"https://m.media-amazon.com/images/M/MV5BNTIxYTBjMzAtNzRlMC00YmI2LThjYjQtYjQ3NGY4MjEzM2VjXkEyXkFqcGdeQXVyMTA5NzIyMDY5._V1_QL75_UY133_CR22,0,90,133_.jpg",6.2
Jab Harry Met Sejal,/title/tt5997666/,"https://m.media-amazon.com/images/M/MV5BMjIzMDI2NDUwOV5BMl5BanBnXkFtZTgwNzE2NjU3MjI@._V1_QL75_UY133_CR1,0,90,133_.jpg",5.1
Tamasha,/title/tt3148502/,"https://m.media-amazon.com/images/M/MV5BMzA0YzQzODctMDllYi00Nzk0LWIxNjQtNjAxMTZkY2YzMjlkXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_QL75_UY133_CR1,0,90,133_.jpg",7.4
Highway,/title/tt2980794/,"https://m.media-amazon.com/images/M/MV5BMjE5NjkyNTczM15BMl5BanBnXkFtZTgwNDg4MzE5MDE@._V1_QL75_UY133_CR1,0,90,133_.jpg",7.6
Rockstar,/title/tt1839596/,"https://m.media-amazon.com/images/M/MV5BOTc3NzAxMjg4M15BMl5BanBnXkFtZTcwMDc2ODQwNw@@._V1_QL75_UY133_CR5,0,90,133_.jpg",7.7
Love Aaj Kal,/title/tt1275863/,"https://m.media-amazon.com/images/M/MV5BODVhZWEyOGYtN2E4MC00MTMyLWJmM2ItNTFlNWVlZmYyMTg4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY133_CR1,0,90,133_.jpg",6.8
Jab We Met,/title/tt1093370/,"https://m.media-amazon.com/images/M/MV5BMDFhNGU0MGYtYmUyNC00OTNjLTkyYjYtODVmZWFjMjczNDZjXkEyXkFqcGdeQXVyODgzMzg2MDg@._V1_QL75_UY133_CR1,0,90,133_.jpg",7.9
Socha Na Tha,/title/tt0451919/,"https://m.media-amazon.com/images/M/MV5BNTY2ZTU2ZDQtOGViNC00YjA5LWJjNDAtNWFhOGYyMTQyZjFkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY133_CR5,0,90,133_.jpg",7.4
Imtihaan,/title/tt5299740/,,7.3
